Sample,Type,PET,IS,Temp,mz105
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,834.72657,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,839.70634,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,844.68509,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,849.68972,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,854.75736,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,859.90325,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,865.05774,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,870.13519,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,875.12413,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,880.07743,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,885.04031,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,890.0274,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,895.04608,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,900.08519,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,905.11955,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,910.13548,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,915.14928,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,920.17767,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,925.19321,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,930.14254,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,935.01496,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,939.88726,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,944.83673,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,949.85849,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,954.90818,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,959.94968,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,964.96088,1.22E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,969.93296,1.23E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,974.93089,1.24E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,980.04591,1.26E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,985.30173,1.29E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,990.63341,1.33E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,36,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,37.23223,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,38.61144,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,40.28229,1.19E-10
