Temp,TGA,mz33,PET,Cys
481.495,95.13687,1.21E-11,30.7,0
483.99399,95.11711,1.21E-11,30.7,0
486.48599,95.10229,1.22E-11,30.7,0
488.979,95.08006,1.22E-11,30.7,0
491.49399,95.06277,1.23E-11,30.7,0
494.00201,95.04054,1.23E-11,30.7,0
496.383,95.02325,1.23E-11,30.7,0
498.65399,95.00103,1.23E-11,30.7,0
501.14001,94.99115,1.22E-11,30.7,0
503.73001,94.96892,1.22E-11,30.7,0
506.27802,94.94669,1.21E-11,30.7,0
508.82199,94.93187,1.21E-11,30.7,0
511.38199,94.91952,1.22E-11,30.7,0
513.90002,94.89976,1.22E-11,30.7,0
516.28699,94.88,1.22E-11,30.7,0
518.685,94.86518,1.22E-11,30.7,0
521.26898,94.85036,1.21E-11,30.7,0
523.91199,94.83801,1.22E-11,30.7,0
526.48602,94.81826,1.23E-11,30.7,0
529.02399,94.80097,1.23E-11,30.7,0
531.54199,94.78862,1.21E-11,30.7,0
533.98102,94.7738,1.2E-11,30.7,0
536.47601,94.75898,1.21E-11,30.7,0
538.966,94.74416,1.23E-11,30.7,0
541.38098,94.72687,1.24E-11,30.7,0
543.823,94.71452,1.23E-11,30.7,0
546.26703,94.70217,1.22E-11,30.7,0
548.82501,94.68735,1.21E-11,30.7,0
551.383,94.67007,1.21E-11,30.7,0
553.91498,94.65525,1.2E-11,30.7,0
556.46698,94.63796,1.2E-11,30.7,0
558.98297,94.62314,1.22E-11,30.7,0
561.742,94.61079,1.23E-11,30.7,0
564.24402,94.59597,1.24E-11,30.7,0
566.59698,94.57868,1.24E-11,30.7,0
568.94098,94.56386,1.22E-11,30.7,0
571.388,94.55151,1.21E-11,30.7,0
573.87299,94.53422,1.2E-11,30.7,0
576.34302,94.5194,1.2E-11,30.7,0
578.875,94.50459,1.2E-11,30.7,0
581.43402,94.49224,1.21E-11,30.7,0
583.97803,94.47989,1.21E-11,30.7,0
586.51703,94.46754,1.21E-11,30.7,0
589.06598,94.45766,1.21E-11,30.7,0
591.68799,94.44284,1.22E-11,30.7,0
594.23102,94.43543,1.22E-11,30.7,0
596.69299,94.42308,1.23E-11,30.7,0
599.14203,94.40826,1.22E-11,30.7,0
601.59698,94.39838,1.2E-11,30.7,0
604.08197,94.38603,1.19E-11,30.7,0
606.56897,94.37615,1.19E-11,30.7,0
609.06,94.36133,1.22E-11,30.7,0
611.55298,94.35145,1.24E-11,30.7,0
614.03802,94.33417,1.25E-11,30.7,0
616.52802,94.32676,1.24E-11,30.7,0
618.987,94.31688,1.22E-11,30.7,0
621.53497,94.307,1.2E-11,30.7,0
624.03497,94.29218,1.2E-11,30.7,0
626.48499,94.2823,1.21E-11,30.7,0
629.005,94.27489,1.21E-11,30.7,0
631.612,94.26007,1.21E-11,30.7,0
634.13599,94.26007,1.21E-11,30.7,0
636.56799,94.24772,1.21E-11,30.7,0
639.06299,94.24525,1.21E-11,30.7,0
641.573,94.23537,1.2E-11,30.7,0
644.08197,94.21561,1.21E-11,30.7,0
646.60303,94.2082,1.21E-11,30.7,0
649.11298,94.19585,1.22E-11,30.7,0
651.62201,94.1835,1.21E-11,30.7,0
654.125,94.17116,1.2E-11,30.7,0
656.61603,94.15881,1.2E-11,30.7,0
659.117,94.15387,1.21E-11,30.7,0
661.612,94.14399,1.23E-11,30.7,0
664.12299,94.13164,1.22E-11,30.7,0
666.612,94.12176,1.22E-11,30.7,0
669.112,94.11682,1.22E-11,30.7,0
671.61298,94.10941,1.21E-11,30.7,0
674.112,94.09953,1.19E-11,30.7,0
676.59802,94.08718,1.18E-11,30.7,0
679.09399,94.08471,1.2E-11,30.7,0
681.59198,94.07483,1.23E-11,30.7,0
684.09698,94.06742,1.23E-11,30.7,0
686.60303,94.05754,1.22E-11,30.7,0
689.11798,94.04272,1.21E-11,30.7,0
691.62402,94.03037,1.22E-11,30.7,0
694.133,94.02543,1.24E-11,30.7,0
696.63397,94.01062,1.23E-11,30.7,0
699.12598,93.9958,1.19E-11,30.7,0
701.63,93.99086,1.17E-11,30.7,0
704.104,93.97851,1.18E-11,30.7,0
706.672,93.97357,1.21E-11,30.7,0
709.22302,93.96369,1.21E-11,30.7,0
711.70398,93.95381,1.21E-11,30.7,0
714.14301,93.9464,1.2E-11,30.7,0
716.578,93.93405,1.19E-11,30.7,0
718.98102,93.9217,1.2E-11,30.7,0
721.51398,93.91429,1.21E-11,30.7,0
724.26001,93.90935,1.21E-11,30.7,0
726.78601,93.897,1.21E-11,30.7,0
729.23999,93.89206,1.22E-11,30.7,0
731.77301,93.87971,1.22E-11,30.7,0
734.24701,93.86736,1.21E-11,30.7,0
736.72803,93.85995,1.2E-11,30.7,0
739.29303,93.84761,1.18E-11,30.7,0
741.71899,93.84514,1.18E-11,30.7,0
744.16699,93.8402,1.2E-11,30.7,0
746.68103,93.82785,1.21E-11,30.7,0
749.17297,93.82044,1.19E-11,30.7,0
751.64099,93.8155,1.19E-11,30.7,0
754.14203,93.80562,1.18E-11,30.7,0
756.63397,93.80068,1.18E-11,30.7,0
759.19897,93.79327,1.19E-11,30.7,0
761.69202,93.78092,1.2E-11,30.7,0
764.14301,93.77351,1.21E-11,30.7,0
766.73401,93.76116,1.21E-11,30.7,0
769.29401,93.75128,1.2E-11,30.7,0
771.78302,93.74881,1.19E-11,30.7,0
774.21997,93.73399,1.2E-11,30.7,0
776.646,93.72658,1.21E-11,30.7,0
779.14697,93.71917,1.21E-11,30.7,0
781.69598,93.71176,1.22E-11,30.7,0
