Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1033,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,3.9959,0,0,0,0,0.2,0.2058,51.5027903601191,1,1
ZS-1034,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,4.0091,50,0.2,0.1941,48.4148562021401,0.2,0.196,48.8887780299818,1,4
ZS-1035,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,3.999,50,0.2,0.2067,51.6879219804951,0.2,0.198,49.5123780945236,1,4
ZS-1036,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,3.9931,50,0.2,0.2045,51.2133430167038,0.2,0.2286,57.2487541008239,1,4
ZS-1037,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,4.0069,250,1,1.0043,250.64264144351,0.2,0.1924,48.0171703810926,1,1
ZS-1038,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,4.0011,250,1,0.9826,245.582464822174,0.2,0.2072,51.785758916298,1,4
ZS-1039,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,3.9922,250,1,1.0034,251.340113220781,0.2,0.1894,47.4425129001553,1,1
ZS-1040,2019-07-03,Interference blank,Polypropylene,TCB,1,8.02,0,0,0,0,0,,0.2,0.2162,,1,3
ZS-1041,2019-07-03,Interference blank,Polypropylene,TCB,2,8.02,0,0,0,0,0,,0.2,0.2032,,1,2
ZS-1042,2019-07-03,Interference blank,Polypropylene,TCB,3,8.02,0,0,0,0,0,,0.2,0.2003,,1,2
ZS-1043,2019-07-03,Blank,Polypropylene,TCB after MeOH rinse,1,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1044,2019-07-03,Blank,Polypropylene,TCB after MeOH rinse,2,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1045,2019-07-03,Blank,Polypropylene,TCB after MeOH rinse,3,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1046,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,1,8.02,4,4.0055,0,0,0,0,0,0,0,1,5
ZS-1047,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,2,8.02,4,4.0008,0,0,0,0,0,0,0,1,5
ZS-1048,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,3,8.02,4,3.99915,0,0,0,0,0,0,0,1,5
ZS-1049,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,1,8.02,4,4.00001,50,0.2,0.1961,49.0248774378064,0,0,0,1,5
ZS-1050,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,2,8.02,4,3.99925,50,0.2,0.2,50.0093767581422,0,0,0,1,5
ZS-1051,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,3,8.02,4,4.00154,50,0.2,0.2018,50.4305842250733,0,0,0,1,5
