Time,Intensity
13.816417,2717378
13.838033,2402170
13.8599,1961168
13.881517,2077178
13.903383,1933078
13.925,2111669
13.946617,2200631
13.968233,2815272
13.993233,2183904
14.015117,3566411
14.036717,2679909
14.060683,2195685
14.08255,1951609
14.104167,2450703
14.125783,2746907
14.1474,1940647
14.169283,2594659
14.190883,2471985
14.212767,2327007
14.234383,1949456
14.25625,2735510
14.277867,2670988
14.299483,1943513
14.323183,1957033
14.34505,2381142
14.36875,2444390
14.39245,1995192
14.41615,2217439
14.438033,2549738
14.459633,3354166
14.4836,3085703
14.505217,2988799
14.527083,31914700
14.55105,150045460
14.572667,9784889
14.594283,3624600
14.61615,18947813
14.637767,204960017
14.659633,21716461
14.68125,4495722
14.703133,4636010
14.72475,21312307
14.746367,5899947
14.768233,2782302
14.78985,3200775
14.811717,2632234
14.833333,3935381
14.85495,2199721
14.879167,2140019
14.90105,2100536
14.922667,2675651
14.944283,1910278
14.96615,2151337
14.987767,2149771
15.01225,3409059
15.03595,5262200
15.059633,8208161
15.083333,16872714
15.107033,12441565
15.130733,8657335
15.154433,7037052
15.178133,8439291
15.201833,7184555
15.225533,6442029
15.249217,5533557
15.272917,6607049
15.296617,6226163
15.320317,3920570
15.344017,3359165
15.365883,2393033
15.3875,2522508
15.409117,3358119
15.431,3972931
15.452867,2352445
15.474483,2343597
15.4961,2727052
15.518233,2516509
15.53985,2525685
15.561467,2263034
15.583083,2355649
15.60495,2481139
15.626567,3030448
15.64845,2922079
15.67005,4110701
15.691933,4536548
15.715883,3685563
15.7375,10223804
15.759117,135272362
15.783333,35600546
15.805217,2987680
15.826833,16986932
15.84845,160542247
15.870317,19584621
15.891933,4143563
15.91355,7973530
15.935417,19964610
15.9573,3167360
15.978917,3024325
16.000533,2249540
16.022133,2755789
16.045833,3520540
16.067717,2053262
16.089333,1978124
16.113283,2904056
16.136983,2753339
16.1625,2505684
16.1862,2736912
16.207817,2584546
16.2297,2601072
16.25365,3579281
16.27735,2783505
16.30105,2451483
16.32475,2840308
16.34845,3122475
16.372133,2786749
16.395833,2492086
16.419533,2678926
16.443233,2829735
16.466933,2328181
16.490633,2517402
16.514333,3731199
16.5362,2934731
16.557817,2950460
16.579433,3245221
16.6013,3111156
16.622917,2479558
16.644533,2564145
16.666417,2622995
16.69115,2153499
16.713033,2328405
16.734633,2335294
16.75625,2708209
16.778133,2680679
16.79975,3132311
16.824217,3978343
16.845833,4498668
16.8698,3540722
16.891667,6911771
16.915367,131065335
16.936983,66980172
16.958867,3540273
16.980467,27399221
17.002083,150036512
17.023967,10666720
17.045583,4661503
17.06745,15577483
17.089067,8686196
17.110683,2751861
17.13595,2455344
17.159633,2368977
17.183333,4012948
17.20495,2706030
17.226833,2581805
17.250783,3109103
17.274483,3084289
17.298183,2761478
17.321883,2821632
17.34375,2723392
17.36745,2841782
17.389067,3027149
17.413033,3612333
17.436717,3745684
17.460417,3671465
17.484117,9757485
17.506,13586747
17.527617,8687312
17.549217,4213950
17.57345,2658196
17.597133,2785896
17.620833,3270532
17.64245,2569236
17.664067,2840942
17.688283,3893647
17.710167,3898018
17.733867,3255469
17.75755,2874037
17.78125,3483426
17.80495,2802986
17.826567,2749193
17.850533,3104030
17.874217,2980561
17.897917,3449309
17.921617,4169304
17.945317,4686952
17.969017,3819658
17.990883,6320440
18.014583,128360330
18.038283,55494657
18.060167,4210468
18.083867,83446172
18.10755,54588354
18.129167,4764358
18.15105,12896684
18.172667,10489715
18.194283,2768526
18.21615,2970866
18.240633,2291544
18.2625,2964159
18.2862,3244995
18.3099,2388740
18.3336,2824881
18.3573,2967787
18.381,2521141
18.4047,2484760
18.428383,2570380
18.452083,2485642
18.475783,2720382
18.4974,2438266
18.521367,3344442
18.54505,3765815
18.56875,2799461
18.59245,3232147
18.61615,3529957
18.63985,2919291
18.66355,2941707
18.68725,4398767
18.71095,4152833
18.734633,3565465
18.758333,4806968
18.782033,4329334
18.805733,4460127
18.829433,4876519
18.853133,4449007
18.876833,4293743
18.900533,4529057
18.924217,3622244
18.947917,4526519
18.971617,8540374
18.9935,7465266
19.015117,4711028
19.039067,7154802
19.062767,117939390
19.086467,50851343
19.110167,9673316
19.133867,128458972
19.15755,13908559
19.179433,7632014
19.203133,15696289
19.226833,3967896
19.250533,6819074
19.2724,4270374
19.2961,2712389
19.3198,3963897
19.3435,2660766
19.3672,2791156
19.390883,3067852
19.414583,3153221
19.438283,3241996
19.461983,2971636
19.485683,3119577
19.509383,2950473
19.533083,3102029
19.556783,3520766
19.580467,3841745
19.604167,3912552
19.627867,4039111
19.651567,4232820
19.675267,4264324
19.698967,4934908
19.722667,4515326
19.746367,4105996
19.77005,4800445
19.79375,3940678
19.81745,4227830
19.84115,3961248
19.86485,4064534
19.88855,4242555
19.91225,3571618
19.93595,4356210
19.959633,4138362
19.983333,4799315
20.007033,5136344
20.030733,5831687
20.054433,57684235
20.078133,131885874
20.101833,10922778
20.1237,85650897
20.1474,31171667
20.169017,8002707
20.192967,14580135
20.21485,4000055
20.23855,3573874
20.26225,2787531
20.28595,3241333
20.309633,4854485
20.333333,3282768
20.357033,3523138
20.380733,3525492
20.404433,3676743
20.428133,4063995
20.451833,3770450
20.475533,3471375
20.499217,3534788
20.522917,3648291
20.546617,3477545
20.570317,3717340
20.594017,4317487
20.617717,4034110
20.641417,4387483
20.665117,5325223
20.6888,5049461
20.7125,8393775
20.734117,7953809
20.755733,5214978
20.777617,4470575
20.799217,4946393
20.8211,5242937
20.842717,5220407
20.864583,5897227
20.889333,7358525
20.913033,6789999
20.934633,7302204
20.956517,6823758
20.980467,6365151
21.004167,24105784
21.025783,141182290
21.04975,23381629
21.07345,69503765
21.097133,34393063
21.120833,11803262
21.142717,13052623
21.166417,3609351
21.190117,3495757
21.2138,3123118
21.2375,3314353
21.2612,4825164
21.2849,3279729
21.3086,3767953
21.3323,3525900
21.356,3698262
21.3797,3915679
21.403383,4170469
21.427083,4825861
21.450783,4504991
21.4724,4132424
21.496367,3946018
21.52005,4307815
21.54375,5030530
21.56745,5203052
21.59115,5194031
21.61485,5233278
21.63855,4772223
21.66225,4952266
21.683867,4399705
21.705733,4099879
21.72735,4454052
21.748967,4937483
21.770833,4783014
21.792717,4646505
21.814333,5328067
21.83595,5559324
21.85755,6087058
21.879433,6468311
21.90105,6866089
21.922917,32029932
21.944533,147913055
21.9685,25822152
21.9922,102586004
22.0138,21683692
22.035417,17468328
22.059633,7260912
22.083333,4974901
22.107033,5383674
22.130733,6757411
22.154433,7356970
22.178133,8448576
22.201833,7633862
22.22345,7815473
22.2474,11431571
22.269283,16847614
22.290883,21050776
22.3125,25823725
22.334383,24590412
22.356,21851438
22.377617,20550486
22.399483,20893328
22.4211,19124306
22.442967,21386943
22.464583,22184549
22.4862,23893063
22.508083,22709333
22.5297,25034452
22.551567,22879874
22.573183,24932917
22.59505,26662286
22.616667,32726744
22.638283,41983547
22.6599,49116553
22.681783,55141866
22.703383,34697090
22.725267,24370790
22.750533,20690407
22.7724,20938506
22.7961,25847993
22.8198,81871081
22.841417,34850115
22.865367,75143589
22.889067,18454032
22.912767,16996324
22.934383,9035632
22.958333,10740881
22.982033,8986353
23.005733,7222680
23.029433,6565695
23.0513,6209575
23.072917,5714323
23.094533,5411326
23.11615,5380620
23.138033,5902894
23.159633,6003009
23.181517,8688143
23.203133,10716220
23.225,9308766
23.246617,8942721
23.268233,8054328
23.28985,7497795
23.311717,7248917
23.333333,8062482
23.355217,8488723
23.376833,7706699
23.3987,7490021
23.420317,7080955
23.441933,7264424
23.46355,7185065
23.485417,7886502
23.507033,7518157
23.528917,8183973
23.550533,8153562
23.5724,8115659
23.594017,8888605
23.615633,9484889
23.6375,15682560
23.659117,109634776
